city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Hillsborough,609 - Open Space and Conservation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Hillsborough,609 - Private Recreational,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Hillsborough,609 - Private Schools,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Hillsborough,609 - Public Facilities and Services,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Hillsborough,609 - Residential,0.25,32,2.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
