id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate
2319,3,Dublin,MU,1,35,25,,0,0,0,1,0,1,0,0,0,0,0,1,1,1,
2320,3,Dublin,MHRRO,0.45,45,35,,0,0,0,1,0,1,0,0,0,0,0,1,1,1,
2321,3,Dublin,RP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2322,3,Dublin,P,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2323,3,Dublin,PPR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2324,3,Dublin,CP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2325,3,Dublin,NP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2326,3,Dublin,NS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2327,3,Dublin,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2328,3,Dublin,SC,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2329,3,Dublin,PL,0.25,,,,0,0,0,1,0,1,1,1,0,0,0,0,0,0,
2330,3,Dublin,PSP,0.25,,,,0,0,0,1,0,1,1,1,0,0,0,0,0,0,
2331,3,Dublin,ES,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2334,3,Dublin,MS,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2401,4,Emeryville,RHD-3-100-55,3,100,100,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2402,4,Emeryville,RHD-4-135-55,4,135,135,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2403,4,Emeryville,MHR-1.6-60-55,1.6,55,60,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2404,4,Emeryville,MDR-0.5-35-30,0.5,30,35,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,
2405,4,Emeryville,MDR-0.5-35-55,0.5,55,35,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,
2406,4,Emeryville,MDR-1.6-60-30,1.6,30,60,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,
2407,4,Emeryville,MDR-1.6-60-55,1.6,55,60,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,
2408,4,Emeryville,MUR-0.5-35-30,0.5,30,35,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2409,4,Emeryville,MUR-0.5-35-55,0.5,55,35,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2410,4,Emeryville,MUR-1.6-60-30,1.6,30,60,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2411,4,Emeryville,MUR-1.6-60-55,1.6,55,60,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2412,4,Emeryville,MUR-3-100-100,3,100,100,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2413,4,Emeryville,MUR-3-100-55,3,55,100,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2414,4,Emeryville,MUR-3-100-75,3,75,100,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2415,4,Emeryville,MUR-4-135-100,4,100,135,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2416,4,Emeryville,MUR-4-135-55,4,55,135,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2417,4,Emeryville,MUR-4-135-x,4,,135,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2418,4,Emeryville,MUR-6-135-x,6,,135,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2419,4,Emeryville,MUR-6-170-55,6,55,170,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2420,4,Emeryville,MUR-6-170-x,6,,170,,0,0,1,1,1,0,0,0,0,1,0,1,1,1,
2421,4,Emeryville,MU-0.5-x-30,0.5,30,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1,
2422,4,Emeryville,MU-1.6-x-55,1.6,55,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1,
2423,4,Emeryville,MU-3-x-55,3,55,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1,
2424,4,Emeryville,MU-4-x-100,4,100,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1,
2425,4,Emeryville,MU-4-x-55,4,55,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1,
2426,4,Emeryville,MU-4-x-x,4,,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1,
2427,4,Emeryville,CO-0.5-x-55,0.5,55,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2428,4,Emeryville,CO-1.6-x-55,1.6,55,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2429,4,Emeryville,CO-3-x-100,3,100,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2430,4,Emeryville,CO-3-x-55,3,55,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2431,4,Emeryville,CO-4-x-100,4,100,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2432,4,Emeryville,CO-4-x-55,4,55,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2433,4,Emeryville,ODH-1-x-55,1,55,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2434,4,Emeryville,Ind-0.5-x-55,0.5,55,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
2435,4,Emeryville,Ind-1.6-x-55,1.6,55,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
2436,4,Emeryville,Ind-3-x-55,3,55,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
2437,4,Emeryville,Pub-0.5-x-30,0.5,30,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2438,4,Emeryville,Pub-0.5-x-55,0.5,55,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2439,4,Emeryville,Pub-1.6-x-55,1.6,55,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2440,4,Emeryville,Mar-0.5-x-55,0.5,55,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2441,4,Emeryville,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2442,4,Emeryville,Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2443,4,Emeryville,ROW,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
